method,model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_edges,components_before_min_size,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
threshold_unionfind,qwen3_06b,background,abs,0.9,0.9,,,,,3,19801,2754,17847,318,18368,92.76,102,3,305
threshold_unionfind,qwen3_06b,background,abs,0.9,0.9,,,,,10,19801,2754,17847,13,19533,98.65,102,12,0
threshold_unionfind,bge_m3,raw,abs,0.7,0.7,,,,,2,19801,681539,1714,255,1459,7.37,17602,2,250
threshold_unionfind,bge_m3,raw,abs,0.7,0.7,,,,,3,19801,681539,1714,101,1767,8.92,17602,4,96
threshold_unionfind,bge_m3,raw,abs,0.7,0.7,,,,,10,19801,681539,1714,5,2149,10.85,17602,12,0
threshold_unionfind,bge_m3,raw,abs,0.75,0.75,,,,,2,19801,305817,2983,418,2565,12.95,15861,2,402
threshold_unionfind,bge_m3,raw,abs,0.75,0.75,,,,,3,19801,305817,2983,177,3047,15.39,15861,4,161
threshold_unionfind,bge_m3,raw,abs,0.75,0.75,,,,,10,19801,305817,2983,16,3718,18.78,15861,14,0
threshold_unionfind,bge_m3,raw,abs,0.8,0.8,,,,,2,19801,129799,5077,826,4251,21.47,11925,2,770
threshold_unionfind,bge_m3,raw,abs,0.8,0.8,,,,,3,19801,129799,5077,363,5177,26.15,11925,4,307
threshold_unionfind,bge_m3,raw,abs,0.8,0.8,,,,,10,19801,129799,5077,56,6470,32.68,11925,15,0
threshold_unionfind,bge_m3,raw,abs,0.85,0.85,,,,,2,19801,51793,8305,1470,6835,34.52,2419,2,1361
threshold_unionfind,bge_m3,raw,abs,0.85,0.85,,,,,3,19801,51793,8305,668,8439,42.62,2419,4,559
threshold_unionfind,bge_m3,raw,abs,0.85,0.85,,,,,10,19801,51793,8305,109,10866,54.88,2419,18,0
threshold_unionfind,bge_m3,raw,abs,0.9,0.9,,,,,2,19801,19063,12551,2006,10545,53.25,497,2,1890
threshold_unionfind,bge_m3,raw,abs,0.9,0.9,,,,,3,19801,19063,12551,830,12897,65.13,497,4,714
threshold_unionfind,bge_m3,raw,abs,0.9,0.9,,,,,10,19801,19063,12551,116,15895,80.27,497,16,0
threshold_unionfind,bge_m3,background,abs,0.7,0.7,,,,,2,19801,35430,9643,1642,8001,40.41,2301,2,1545
threshold_unionfind,bge_m3,background,abs,0.7,0.7,,,,,3,19801,35430,9643,743,9799,49.49,2301,4,646
threshold_unionfind,bge_m3,background,abs,0.7,0.7,,,,,10,19801,35430,9643,97,12564,63.45,2301,16,0
threshold_unionfind,bge_m3,background,abs,0.75,0.75,,,,,2,19801,20872,11819,1834,9985,50.43,1217,2,1731
threshold_unionfind,bge_m3,background,abs,0.75,0.75,,,,,3,19801,20872,11819,781,12091,61.06,1217,4,678
threshold_unionfind,bge_m3,background,abs,0.75,0.75,,,,,10,19801,20872,11819,103,14919,75.34,1217,16,0
threshold_unionfind,bge_m3,background,abs,0.8,0.8,,,,,2,19801,11983,13960,1954,12006,60.63,239,2,1862
threshold_unionfind,bge_m3,background,abs,0.8,0.8,,,,,3,19801,11983,13960,774,14366,72.55,239,4,682
threshold_unionfind,bge_m3,background,abs,0.8,0.8,,,,,10,19801,11983,13960,92,17230,87.02,239,17,0
threshold_unionfind,bge_m3,background,abs,0.85,0.85,,,,,2,19801,6457,15909,1860,14049,70.95,65,2,1813
threshold_unionfind,bge_m3,background,abs,0.85,0.85,,,,,3,19801,6457,15909,601,16567,83.67,65,4,554
threshold_unionfind,bge_m3,background,abs,0.85,0.85,,,,,10,19801,6457,15909,47,18883,95.36,65,17,0
threshold_unionfind,bge_m3,background,abs,0.9,0.9,,,,,2,19801,3115,17595,1376,16219,81.91,31,2,1363
threshold_unionfind,bge_m3,background,abs,0.9,0.9,,,,,3,19801,3115,17595,341,18289,92.36,31,3,328
threshold_unionfind,bge_m3,background,abs,0.9,0.9,,,,,10,19801,3115,17595,13,19579,98.88,31,16,0
