model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,2.0,3,19801,209,2339,11.81,592,6,119
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,2.0,10,19801,90,2820,14.24,592,171,0
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,4.0,1,19801,426,1993,10.07,552,3,293
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,4.0,3,19801,253,2339,11.81,552,16,120
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,4.0,10,19801,133,2829,14.29,552,109,0
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,8.0,1,19801,485,1993,10.07,375,4,304
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,8.0,3,19801,312,2339,11.81,375,28,131
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,8.0,10,19801,181,2892,14.61,375,78,0
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,1.0,1,19801,1290,6958,35.14,649,2,1156
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,1.0,3,19801,566,8406,42.45,649,4,432
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,1.0,10,19801,134,10222,51.62,649,28,0
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,2.0,1,19801,1311,6958,35.14,451,2,1161
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,2.0,3,19801,587,8406,42.45,451,4,437
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,2.0,10,19801,150,10258,51.81,451,28,0
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,4.0,1,19801,1343,6958,35.14,296,2,1169
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,4.0,3,19801,619,8406,42.45,296,5,445
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,4.0,10,19801,174,10308,52.06,296,31,0
embeddinggemma,background,abs,0.7,0.7,0.5602,24.0,6958,8.0,1,19801,1381,6958,35.14,194,2,1179
